nm,n,k
300,1.5517607,0.918396179
305,1.50049737,0.76927033
310,1.38990831,0.615865816
315,1.20752235,0.485515551
320,0.95451619,0.427647026
325,0.710746842,0.494022188
330,0.525720993,0.610319286
335,0.397041092,0.756876521
340,0.321389126,0.901396311
345,0.278525251,1.0293339
350,0.25375026,1.14018329
355,0.238938004,1.23678145
360,0.229631526,1.32209639
365,0.223321751,1.39861073
370,0.21857715,1.46828589
375,0.214584922,1.5326406
380,0.210894856,1.59284117
385,0.207270656,1.64978063
390,0.203601793,1.70414272
395,0.199850725,1.75645178
400,0.196021107,1.80711072
405,0.192138571,1.85642976
410,0.188239061,1.90464798
415,0.184361786,1.95194977
420,0.180544988,1.99847719
425,0.176823512,2.04433964
430,0.173227503,2.08962123
435,0.169781851,2.13438659
440,0.166506111,2.17868543
445,0.163414732,2.22255609
450,0.160517471,2.26602834
455,0.157819912,2.30912556
460,0.155324031,2.35186642
465,0.153028762,2.39426619
470,0.150930543,2.43633773
475,0.149023821,2.47809225
480,0.14730151,2.5195398
485,0.145755391,2.56068975
490,0.144376462,2.60155101
495,0.14315523,2.64213225
500,0.142081957,2.68244202
505,0.141146863,2.72248881
510,0.140340282,2.76228112
515,0.139652788,2.80182743
520,0.139075292,2.84113622
525,0.138599109,2.88021596
530,0.138216007,2.91907507
535,0.137918237,2.95772188
540,0.137698546,2.99616465
545,0.137550186,3.0344115
550,0.137466907,3.07247039
555,0.137442943,3.11034913
560,0.137472999,3.14805531
565,0.137552225,3.18559633
570,0.137676201,3.22297938
575,0.137840904,3.26021138
580,0.138042686,3.29729906
585,0.138278251,3.33424889
590,0.138544622,3.37106707
595,0.138839126,3.4077596
600,0.13915936,3.44433221
605,0.139503177,3.4807904
610,0.139868658,3.51713944
615,0.140254094,3.55338437
620,0.140657969,3.58953
625,0.141078938,3.62558094
630,0.141515813,3.66154158
635,0.141967549,3.69741611
640,0.142433226,3.73320854
645,0.142912042,3.7689227
650,0.143403296,3.80456222
655,0.143906378,3.8401306
660,0.144420763,3.87563114
665,0.144945998,3.91106704
670,0.145481697,3.94644133
675,0.14602753,3.9817569
680,0.14658322,4.01701653
685,0.147148536,4.05222288
690,0.147723286,4.08737851
695,0.148307315,4.12248586
700,0.148900498,4.15754729
705,0.149502737,4.19256505
710,0.150113958,4.22754134
715,0.150734108,4.26247827
720,0.151363149,4.29737788
725,0.152001062,4.33224217
730,0.152647839,4.36707306
735,0.15330348,4.40187245
740,0.153967999,4.4366422
745,0.154641414,4.47138413
750,0.15532375,4.50610006
755,0.156015037,4.54079177
760,0.156715308,4.57546107
765,0.157424602,4.61010978
770,0.15814296,4.64473974
775,0.15887043,4.67935283
780,0.159607067,4.71395101
785,0.160352941,4.74853634
790,0.161108149,4.78311096
795,0.161872826,4.81767721
800,0.16264718,4.8522376
805,0.163431526,4.88679488
810,0.164226346,4.9213521
815,0.165032376,4.95591263
820,0.165850705,4.99048021
825,0.166682922,5.02505897
830,0.16753128,5.05965341
835,0.168398893,5.09426832
840,0.169289947,5.12890872
845,0.170209911,5.1635796
850,0.171165732,5.19828568
855,0.172165973,5.23303105
860,0.173220875,5.26781872
865,0.174342301,5.30265008
870,0.175543538,5.33752443
875,0.176838927,5.37243835
880,0.178243327,5.40738531
885,0.179771401,5.44235525
890,0.181436773,5.4773344
895,0.183251074,5.51230534
900,0.185222973,5.54724726
905,0.187357237,5.5821365
910,0.189653915,5.61694742
915,0.192107725,5.65165342
920,0.194707706,5.68622819
925,0.197437184,5.720647
930,0.200274079,5.75488813
935,0.203191556,5.78893402
940,0.206158982,5.82277248
945,0.209143141,5.85639741
950,0.212109638,5.88980941
955,0.21502439,5.92301592
960,0.217855123,5.95603104
965,0.220572782,5.98887496
970,0.223152753,6.02157317
975,0.225575857,6.0541553
980,0.227829045,6.08665391
985,0.229905769,6.11910306
990,0.23180604,6.15153695
995,0.23353617,6.18398857
1000,0.235108247,6.21648854
