nm,n,k
300,1.55380639,3.11E-05
305,1.5523148,2.39E-05
310,1.55090272,1.82E-05
315,1.54956454,1.39E-05
320,1.54829512,1.06E-05
325,1.54708975,8.09E-06
330,1.54594409,6.16E-06
335,1.54485419,4.69E-06
340,1.54381638,3.57E-06
345,1.54282732,2.72E-06
350,1.54188392,2.08E-06
355,1.54098335,1.59E-06
360,1.54012297,1.22E-06
365,1.53930037,9.31E-07
370,1.53851332,7.15E-07
375,1.53775974,5.50E-07
380,1.53703772,4.24E-07
385,1.53634546,3.27E-07
390,1.53568133,2.53E-07
395,1.53504377,1.96E-07
400,1.53443135,1.53E-07
405,1.53384274,1.19E-07
410,1.5332767,9.30E-08
415,1.53273204,7.29E-08
420,1.53220769,5.73E-08
425,1.53170262,4.51E-08
430,1.53121588,3.56E-08
435,1.53074657,2.82E-08
440,1.53029384,2.24E-08
445,1.52985691,1.78E-08
450,1.52943503,1.42E-08
455,1.5290275,1.14E-08
460,1.52863367,9.11E-09
465,1.5282529,7.32E-09
470,1.52788461,5.90E-09
475,1.52752825,4.77E-09
480,1.52718329,3.87E-09
485,1.52684925,3.14E-09
490,1.52652565,2.56E-09
495,1.52621204,2.09E-09
500,1.52590802,1.71E-09
505,1.52561318,1.40E-09
510,1.52532714,1.15E-09
515,1.52504955,9.50E-10
520,1.52478006,7.85E-10
525,1.52451836,6.50E-10
530,1.52426414,5.39E-10
535,1.52401711,4.49E-10
540,1.52377698,3.74E-10
545,1.52354349,3.13E-10
550,1.5233164,2.62E-10
555,1.52309546,2.20E-10
560,1.52288044,1.85E-10
565,1.52267113,1.56E-10
570,1.52246731,1.31E-10
575,1.52226879,1.11E-10
580,1.52207538,9.43E-11
585,1.5218869,8.01E-11
590,1.52170316,6.82E-11
595,1.52152402,5.81E-11
600,1.5213493,4.97E-11
605,1.52117886,4.25E-11
610,1.52101255,3.65E-11
615,1.52085023,3.13E-11
620,1.52069177,2.70E-11
625,1.52053704,2.32E-11
630,1.52038592,2.01E-11
635,1.52023828,1.74E-11
640,1.52009402,1.50E-11
645,1.51995303,1.31E-11
650,1.5198152,1.13E-11
655,1.51968043,9.88E-12
660,1.51954863,8.62E-12
665,1.51941971,7.52E-12
670,1.51929357,6.58E-12
675,1.51917012,5.77E-12
680,1.5190493,5.06E-12
685,1.51893102,4.45E-12
690,1.51881519,3.91E-12
695,1.51870176,3.45E-12
700,1.51859064,3.04E-12
705,1.51848177,2.69E-12
710,1.51837508,2.38E-12
715,1.51827052,2.11E-12
720,1.51816801,1.87E-12
725,1.51806751,1.66E-12
730,1.51796894,1.48E-12
735,1.51787227,1.31E-12
740,1.51777743,1.17E-12
745,1.51768437,1.05E-12
750,1.51759305,9.35E-13
755,1.51750342,8.37E-13
760,1.51741542,7.50E-13
765,1.51732902,6.72E-13
770,1.51724418,6.04E-13
775,1.51716084,5.43E-13
780,1.51707898,4.88E-13
785,1.51699855,4.40E-13
790,1.51691951,3.97E-13
795,1.51684182,3.58E-13
800,1.51676546,3.24E-13
805,1.51669039,2.93E-13
810,1.51661657,2.65E-13
815,1.51654397,2.40E-13
820,1.51647257,2.18E-13
825,1.51640232,1.98E-13
830,1.5163332,1.80E-13
835,1.51626519,1.64E-13
840,1.51619825,1.49E-13
845,1.51613237,1.36E-13
850,1.5160675,1.24E-13
855,1.51600363,1.13E-13
860,1.51594074,1.04E-13
865,1.51587879,9.48E-14
870,1.51581777,8.68E-14
875,1.51575766,7.95E-14
880,1.51569842,7.29E-14
885,1.51564005,6.69E-14
890,1.51558252,6.15E-14
895,1.51552581,5.65E-14
900,1.5154699,5.20E-14
905,1.51541478,4.79E-14
910,1.51536041,4.41E-14
915,1.5153068,4.07E-14
920,1.51525392,3.75E-14
925,1.51520174,3.47E-14
930,1.51515027,3.20E-14
935,1.51509947,2.96E-14
940,1.51504935,2.74E-14
945,1.51499987,2.54E-14
950,1.51495102,2.35E-14
955,1.5149028,2.18E-14
960,1.51485518,2.03E-14
965,1.51480816,1.88E-14
970,1.51476172,1.75E-14
975,1.51471585,1.63E-14
980,1.51467053,1.51E-14
985,1.51462576,1.41E-14
990,1.51458151,1.31E-14
995,1.51453779,1.22E-14
1000,1.51449458,1.14E-14
