nm,n,k
300,2.95972148,2.40869583
305,3.01198796,2.40666087
310,3.06361413,2.40335084
315,3.11457712,2.3988058
320,3.16485536,2.39306491
325,3.21442848,2.38616658
330,3.26327731,2.37814852
335,3.31138374,2.36904781
340,3.35873075,2.35890099
345,3.40530232,2.34774409
350,3.45108342,2.33561269
355,3.49606001,2.32254197
360,3.54021897,2.30856671
365,3.58354812,2.29372139
370,3.62603619,2.27804015
375,3.66767285,2.26155684
380,3.70844863,2.24430503
385,3.748355,2.22631803
390,3.7873843,2.20762886
395,3.82552979,2.18827032
400,3.86278561,2.16827491
405,3.8991468,2.14767489
410,3.9346093,2.12650222
415,3.96916993,2.1047886
420,4.00282642,2.0825654
425,4.03557737,2.0598637
430,4.06742227,2.03671422
435,4.09836148,2.01314734
440,4.12839625,1.98919305
445,4.15752866,1.96488093
450,4.18576166,1.94024016
455,4.21309902,1.91529944
460,4.23954534,1.89008702
465,4.26510602,1.86463062
470,4.28978723,1.83895744
475,4.31359591,1.81309416
480,4.33653974,1.78706683
485,4.3586271,1.76090095
490,4.37986708,1.73462136
495,4.4002694,1.70825229
500,4.41984443,1.68181728
505,4.43860312,1.65533921
510,4.45655699,1.62884026
515,4.47371809,1.6023419
520,4.49009898,1.57586486
525,4.50571267,1.54942915
530,4.5205726,1.52305405
535,4.53469261,1.49675806
540,4.5480869,1.47055894
545,4.56076997,1.4444737
550,4.57275664,1.41851858
555,4.58406197,1.39270905
560,4.59470122,1.36705984
565,4.60468986,1.34158493
570,4.6140435,1.31629754
575,4.62277787,1.29121016
580,4.63090879,1.26633456
585,4.63845214,1.24168177
590,4.64542383,1.21726212
595,4.65183976,1.19308526
600,4.65771582,1.16916016
605,4.66306783,1.1454951
610,4.66791155,1.12209774
615,4.67226265,1.09897509
620,4.67613665,1.07613358
625,4.67954895,1.053579
630,4.68251479,1.03131659
635,4.68504924,1.00935105
640,4.68716716,0.987686509
645,4.68888323,0.966326601
650,4.69021187,0.945274456
655,4.6911673,0.924532732
660,4.69176349,0.904103627
665,4.69201415,0.883988905
670,4.69193273,0.864189913
675,4.69153242,0.844707601
680,4.69082611,0.825542542
685,4.68982643,0.80669495
690,4.68854571,0.788164702
695,4.68699601,0.769951352
700,4.68518908,0.752054152
705,4.68313637,0.734472069
710,4.68084905,0.717203803
715,4.678338,0.700247802
720,4.67561377,0.683602277
725,4.67268665,0.667265223
730,4.66956663,0.651234429
735,4.66626339,0.635507493
740,4.66278633,0.62008184
745,4.65914457,0.604954732
750,4.65534695,0.590123282
755,4.65140201,0.575584464
760,4.64731804,0.561335131
765,4.64310303,0.547372021
770,4.63876473,0.533691769
775,4.63431062,0.520290919
780,4.62974791,0.507165932
785,4.62508357,0.494313197
790,4.62032432,0.481729038
795,4.61547664,0.469409724
800,4.61054677,0.457351478
805,4.60554073,0.445550479
810,4.6004643,0.434002878
815,4.59532304,0.422704797
820,4.59012232,0.411652338
825,4.58486727,0.40084159
830,4.57956285,0.390268632
835,4.57421379,0.379929543
840,4.56882465,0.3698204
845,4.5633998,0.359937289
850,4.55794342,0.350276305
855,4.55245954,0.340833556
860,4.546952,0.331605171
865,4.54142446,0.322587299
870,4.53588047,0.313776112
875,4.53032337,0.305167812
880,4.5247564,0.296758628
885,4.51918262,0.288544824
890,4.51360496,0.280522698
895,4.50802623,0.272688583
900,4.50244909,0.265038852
905,4.49687609,0.257569917
910,4.49130965,0.250278233
915,4.48575208,0.243160297
920,4.48020557,0.236212649
925,4.4746722,0.229431876
930,4.46915395,0.22281461
935,4.46365271,0.21635753
940,4.45817024,0.210057362
945,4.45270825,0.20391088
950,4.44726833,0.197914908
955,4.44185198,0.192066315
960,4.43646065,0.186362024
965,4.43109567,0.180799004
970,4.42575831,0.175374274
975,4.42044978,0.170084902
980,4.4151712,0.164928007
985,4.40992363,0.159900755
990,4.40470806,0.155000364
995,4.39952542,0.150224099
1000,4.39437658,0.145569274
