nm,n,k
300,0.282312019,3.60137717
305,0.290796761,3.66484986
310,0.299421809,3.73E+00
315,0.308188871,3.79E+00
320,0.317099771,3.85466073
325,0.326156451,3.91774295
330,0.335360977,3.98073765
335,0.344715539,4.04364836
340,0.354222455,4.10647842
345,0.363884175,4.16923093
350,0.373703283,4.23190883
355,0.383682503,4.29451484
360,0.393824705,4.35705153
365,0.404132904,4.41952127
370,0.414610271,4.48192631
375,0.425260132,4.54426868
380,0.436085982,4.6065503
385,0.447091483,4.66877292
390,0.458280472,4.73093813
395,0.469656971,4.79304737
400,0.481225191,4.85510194
405,0.492989541,4.91710297
410,0.504954632,4.97905145
415,0.51712529,5.04094819
420,0.529506563,5.10279387
425,0.542103727,5.16458898
430,0.5549223,5.22633384
435,0.567968048,5.28802859
440,0.581246999,5.3496732
445,0.59476545,5.4112674
450,0.608529984,5.47281077
455,0.622547474,5.53430264
460,0.636825104,5.5957421
465,0.651370378,5.65712802
470,0.666191131,5.718459
475,0.681295549,5.77973334
480,0.696692183,5.84094908
485,0.712389959,5.90210391
490,0.728398201,5.96319519
495,0.744726645,6.02421991
500,0.761385454,6.08517464
505,0.778385241,6.14605557
510,0.795737083,6.20685837
515,0.813452542,6.26757824
520,0.831543684,6.32820983
525,0.850023099,6.38874721
530,0.86890392,6.44918379
535,0.888199845,6.50951231
540,0.907925154,6.56972473
545,0.92809473,6.62981221
550,0.948724079,6.68976501
555,0.969829347,6.74957242
560,0.991427338,6.80922266
565,1.01353553,6.86870282
570,1.03617208,6.9279987
575,1.05935584,6.98709475
580,1.08310639,7.0459739
585,1.10744397,7.10461745
590,1.13238955,7.1630049
595,1.15796477,7.22111381
600,1.18419197,7.27891957
605,1.21109408,7.33639527
610,1.23869465,7.39351139
615,1.26701776,7.45023567
620,1.29608794,7.50653277
625,1.32593008,7.562364
630,1.35656927,7.61768706
635,1.3880307,7.67245564
640,1.4203394,7.72661915
645,1.45352003,7.78012223
650,1.48759659,7.83290445
655,1.52259204,7.88489978
660,1.55852788,7.93603619
665,1.59542365,7.98623516
670,1.63329631,8.03541114
675,1.67215951,8.08347112
680,1.71202273,8.13031407
685,1.75289032,8.17583047
690,1.79476031,8.21990185
695,1.83762305,8.2624004
700,1.88145967,8.30318865
705,1.92624031,8.3421193
710,1.97192208,8.37903518
715,2.0184468,8.41376947
720,2.06573844,8.44614621
725,2.1137004,8.47598118
730,2.16221243,8.50308327
735,2.21112745,8.52725636
740,2.26026821,8.54830201
745,2.30942395,8.56602279
750,2.35834714,8.5802267
755,2.40675053,8.59073248
760,2.45430477,8.59737614
765,2.50063683,8.60001855
770,2.54532959,8.59855423
775,2.587923,8.59292112
780,2.62791723,8.58311113
785,2.66477819,8.56918114
790,2.69794577,8.55126398
795,2.72684509,8.52957854
800,2.75090085,8.50443845
805,2.76955469,8.47625826
810,2.78228509,8.44555608
815,2.78862913,8.41295204
820,2.78820509,8.37916141
825,2.78073451,8.34498228
830,2.76606212,8.31127738
835,2.74417202,8.27895054
840,2.71519854,8.24891882
845,2.67943031,8.22208147
850,2.6373068,8.19928784
855,2.58940691,8.18130629
860,2.53643008,8.16879629
865,2.47917088,8.16228591
870,2.41848897,8.16215623
875,2.35527647,8.16863374
880,2.29042516,8.18179108
885,2.22479588,8.20155548
890,2.15919205,8.22772387
895,2.09433867,8.25998291
900,2.03086777,8.29793195
905,1.9693102,8.34110706
910,1.91009335,8.38900439
915,1.85354399,8.44110137
920,1.79989493,8.49687507
925,1.74929448,8.55581705
930,1.7018174,8.6174446
935,1.65747653,8.68130875
940,1.6162342,8.74699917
945,1.57801298,8.81414668
950,1.54270541,8.88242369
955,1.51018246,8.95154316
960,1.48030072,9.02125657
965,1.45290837,9.09135112
970,1.42784996,9.16164655
975,1.40497017,9.23199179
980,1.38411671,9.30226167
985,1.36514241,9.37235365
990,1.34790671,9.44218479
995,1.33227669,9.51168897
1000,1.31812759,9.58081432
