nm,n,k
300,1.72485566,0.000106917
305,1.72202122,9.51E-05
310,1.71935779,8.49E-05
315,1.71685108,7.61E-05
320,1.71448833,6.84E-05
325,1.71225814,6.18E-05
330,1.71015024,5.59E-05
335,1.70815541,5.08E-05
340,1.70626532,4.63E-05
345,1.70447243,4.23E-05
350,1.70276987,3.88E-05
355,1.70115143,3.56E-05
360,1.69961141,3.28E-05
365,1.69814464,3.03E-05
370,1.69674635,2.81E-05
375,1.69541219,2.60E-05
380,1.69413816,2.42E-05
385,1.69292057,2.25E-05
390,1.69175601,2.10E-05
395,1.69064136,1.97E-05
400,1.6895737,1.84E-05
405,1.68855036,1.73E-05
410,1.68756884,1.63E-05
415,1.68662682,1.53E-05
420,1.68572215,1.44E-05
425,1.68485283,1.36E-05
430,1.68401699,1.29E-05
435,1.68321289,1.22E-05
440,1.6824389,1.16E-05
445,1.68169349,1.10E-05
450,1.68097525,1.05E-05
455,1.68028284,9.96E-06
460,1.679615,9.49E-06
465,1.67897057,9.06E-06
470,1.67834843,8.66E-06
475,1.67774754,8.28E-06
480,1.67716694,7.93E-06
485,1.67660569,7.60E-06
490,1.67606293,7.29E-06
495,1.67553784,7.00E-06
500,1.67502965,6.72E-06
505,1.67453763,6.47E-06
510,1.67406108,6.23E-06
515,1.67359935,6.00E-06
520,1.67315183,5.78E-06
525,1.67271792,5.58E-06
530,1.67229707,5.39E-06
535,1.67188875,5.21E-06
540,1.67149246,5.04E-06
545,1.67110773,4.88E-06
550,1.67073411,4.72E-06
555,1.67037115,4.58E-06
560,1.67001847,4.44E-06
565,1.66967566,4.31E-06
570,1.66934235,4.18E-06
575,1.6690182,4.06E-06
580,1.66870287,3.95E-06
585,1.66839602,3.84E-06
590,1.66809737,3.74E-06
595,1.66780662,3.64E-06
600,1.66752348,3.55E-06
605,1.66724768,3.46E-06
610,1.66697899,3.37E-06
615,1.66671714,3.29E-06
620,1.66646191,3.21E-06
625,1.66621307,3.13E-06
630,1.66597041,3.06E-06
635,1.66573372,2.99E-06
640,1.66550281,2.92E-06
645,1.66527749,2.86E-06
650,1.66505757,2.80E-06
655,1.66484289,2.74E-06
660,1.66463327,2.68E-06
665,1.66442857,2.63E-06
670,1.66422861,2.58E-06
675,1.66403327,2.53E-06
680,1.66384238,2.48E-06
685,1.66365583,2.43E-06
690,1.66347347,2.38E-06
695,1.66329518,2.34E-06
700,1.66312085,2.30E-06
705,1.66295034,2.26E-06
710,1.66278356,2.22E-06
715,1.66262039,2.18E-06
720,1.66246072,2.14E-06
725,1.66230446,2.11E-06
730,1.66215151,2.07E-06
735,1.66200178,2.04E-06
740,1.66185517,2.01E-06
745,1.6617116,1.98E-06
750,1.66157099,1.95E-06
755,1.66143325,1.92E-06
760,1.6612983,1.89E-06
765,1.66116608,1.86E-06
770,1.6610365,1.83E-06
775,1.66090949,1.81E-06
780,1.66078499,1.78E-06
785,1.66066294,1.76E-06
790,1.66054326,1.73E-06
795,1.6604259,1.71E-06
800,1.66031079,1.69E-06
805,1.66019788,1.67E-06
810,1.66008711,1.65E-06
815,1.65997843,1.63E-06
820,1.65987179,1.61E-06
825,1.65976713,1.59E-06
830,1.6596644,1.57E-06
835,1.65956356,1.55E-06
840,1.65946457,1.53E-06
845,1.65936737,1.51E-06
850,1.65927192,1.50E-06
855,1.65917819,1.48E-06
860,1.65908612,1.46E-06
865,1.65899568,1.45E-06
870,1.65890684,1.43E-06
875,1.65881955,1.42E-06
880,1.65873378,1.40E-06
885,1.65864949,1.39E-06
890,1.65856665,1.38E-06
895,1.65848522,1.36E-06
900,1.65840518,1.35E-06
905,1.65832649,1.34E-06
910,1.65824912,1.32E-06
915,1.65817305,1.31E-06
920,1.65809824,1.30E-06
925,1.65802466,1.29E-06
930,1.65795229,1.28E-06
935,1.6578811,1.26E-06
940,1.65781107,1.25E-06
945,1.65774217,1.24E-06
950,1.65767437,1.23E-06
955,1.65760766,1.22E-06
960,1.65754201,1.21E-06
965,1.6574774,1.20E-06
970,1.6574138,1.19E-06
975,1.65735119,1.18E-06
980,1.65728956,1.17E-06
985,1.65722888,1.16E-06
990,1.65716914,1.16E-06
995,1.65711031,1.15E-06
1000,1.65705238,1.14E-06
