nm,n,k
300,2.24533306,0.315921751
305,2.24997681,0.295548091
310,2.25262789,0.274982351
315,2.2533284,0.254618423
320,2.25221158,0.234794037
325,2.24947172,0.215775739
330,2.24533588,0.197755689
335,2.24004059,0.180856901
340,2.2338149,0.165143345
345,2.22686948,0.150631943
350,2.21939084,0.137304425
355,2.21153917,0.125117847
360,2.20344882,0.114013273
365,2.19523019,0.103922548
370,2.18697243,0.09477333
375,2.17874636,0.086492665
380,2.17060738,0.079009406
385,2.16259809,0.072255758
390,2.1547507,0.06616817
395,2.14708901,0.060687777
400,2.13963014,0.055760526
405,2.13238594,0.051337097
410,2.12536419,0.04737269
415,2.11856953,0.043826746
420,2.11200427,0.040662622
425,2.10566906,0.037847256
430,2.09956343,0.035350841
435,2.09368626,0.033146508
440,2.08803628,0.031210028
445,2.08261256,0.029519537
450,2.07741513,0.028055288
455,2.07244611,0.026799408
460,2.06771213,0.025735678
465,2.06323681,0.024848129
470,2.05904703,0.024050929
475,2.05507206,0.023295602
480,2.05127644,0.022580019
485,2.04763812,0.021902043
490,2.04414072,0.021259624
495,2.04077112,0.020650816
500,2.03751843,0.020073782
505,2.03437336,0.019526798
510,2.03132783,0.019008242
515,2.02837473,0.018516594
520,2.02550773,0.01805043
525,2.02272117,0.017608412
530,2.0200099,0.017189289
535,2.01736928,0.016791887
540,2.01479504,0.016415106
545,2.01228328,0.016057914
550,2.0098304,0.015719344
555,2.00743308,0.015398486
560,2.00508825,0.01509449
565,2.00279304,0.014806555
570,2.0005448,0.014533931
575,1.99834104,0.01427591
580,1.99617944,0.01403183
585,1.99405782,0.013801066
590,1.99197414,0.013583032
595,1.98992648,0.013377176
600,1.98791304,0.013182977
605,1.98593212,0.012999946
610,1.98398211,0.012827622
615,1.98206149,0.012665569
620,1.98016884,0.012513379
625,1.9783028,0.012370664
630,1.97646207,0.01223706
635,1.97464544,0.012112222
640,1.97285176,0.011995826
645,1.97107992,0.011887564
650,1.96932887,0.011787145
655,1.96759763,0.011694297
660,1.96588523,0.01160876
665,1.96419079,0.011530288
670,1.96251344,0.01145865
675,1.96085236,0.011393627
680,1.95920676,0.01133501
685,1.95757589,0.011282603
690,1.95595904,0.01123622
695,1.95435552,0.011195685
700,1.95276468,0.01116083
705,1.95118589,0.011131497
710,1.94961854,0.011107537
715,1.94806207,0.011088806
720,1.94651591,0.011075171
725,1.94497954,0.011066502
730,1.94345245,0.01106268
735,1.94193415,0.011063589
740,1.94042417,0.01106912
745,1.93892206,0.01107917
750,1.93742739,0.01109364
755,1.93593973,0.011112437
760,1.93445869,0.011135473
765,1.93298388,0.011162665
770,1.93151493,0.011193932
775,1.93005148,0.0112292
780,1.92859319,0.011268396
785,1.92713972,0.011311453
790,1.92569075,0.011358308
795,1.92424596,0.011408898
800,1.92280508,0.011463166
805,1.92136779,0.011521057
810,1.91993383,0.011582519
815,1.91850292,0.011647504
820,1.91707481,0.011715964
825,1.91564925,0.011787856
830,1.91422599,0.011863137
835,1.91280479,0.011941769
840,1.91138543,0.012023715
845,1.90996769,0.012108938
850,1.90855136,0.012197406
855,1.90713622,0.012289088
860,1.90572208,0.012383954
865,1.90430875,0.012481977
870,1.90289604,0.01258313
875,1.90148377,0.012687388
880,1.90007175,0.012794729
885,1.89865982,0.012905131
890,1.89724782,0.013018574
895,1.89583558,0.01313504
900,1.89442294,0.01325451
905,1.89300975,0.013376968
910,1.89159588,0.013502399
915,1.89018116,0.01363079
920,1.88876547,0.013762126
925,1.88734866,0.013896397
930,1.88593062,0.014033592
935,1.8845112,0.0141737
940,1.88309028,0.014316712
945,1.88166775,0.014462621
950,1.88024348,0.01461142
955,1.87881736,0.014763101
960,1.87738928,0.014917659
965,1.87595913,0.015075091
970,1.8745268,0.01523539
975,1.87309219,0.015398555
980,1.8716552,0.015564583
985,1.87021574,0.015733471
990,1.86877369,0.015905219
995,1.86732898,0.016079825
1000,1.86588152,0.01625729
