nm,n,k
300,1.53832897,0.000474789
305,1.53611915,0.000325212
310,1.53404181,2.07E-04
315,1.53208819,1.18E-04
320,1.53025084,5.48E-05
325,1.52852373,1.64E-05
330,1.52690313,6.18E-07
335,1.52539112,0
340,1.52397514,0
345,1.52264237,0
350,1.52138457,0
355,1.52019516,0
360,1.51906852,0
365,1.51799978,0
370,1.51698463,0
375,1.51601922,0
380,1.51510008,0
385,1.5142241,0
390,1.51338842,0
395,1.51259045,0
400,1.51182784,0
405,1.5110984,0
410,1.51040015,0
415,1.50973124,0
420,1.50908998,0
425,1.50847479,0
430,1.50788422,0
435,1.50731693,0
440,1.50677165,0
445,1.50624722,0
450,1.50574256,0
455,1.50525664,0
460,1.50478853,0
465,1.50433732,0
470,1.5039022,0
475,1.50348238,0
480,1.50307713,0
485,1.50268577,0
490,1.50230765,0
495,1.50194217,0
500,1.50158875,0
505,1.50124685,0
510,1.50091597,0
515,1.50059563,0
520,1.50028537,0
525,1.49998476,0
530,1.49969341,0
535,1.49941091,0
540,1.49913692,0
545,1.49887109,0
550,1.49861308,0
555,1.49836259,0
560,1.49811933,0
565,1.49788301,0
570,1.49765336,0
575,1.49743014,0
580,1.4972131,0
585,1.497002,0
590,1.49679664,0
595,1.4965968,0
600,1.49640228,0
605,1.4962129,0
610,1.49602846,0
615,1.4958488,0
620,1.49567375,0
625,1.49550315,0
630,1.49533685,0
635,1.4951747,0
640,1.49501657,0
645,1.49486232,0
650,1.49471182,0
655,1.49456496,0
660,1.4944216,0
665,1.49428165,0
670,1.49414499,0
675,1.49401152,0
680,1.49388114,0
685,1.49375375,0
690,1.49362927,0
695,1.49350759,0
700,1.49338864,0
705,1.49327234,0
710,1.49315861,0
715,1.49304736,0
720,1.49293854,0
725,1.49283206,0
730,1.49272786,0
735,1.49262588,0
740,1.49252605,0
745,1.49242831,0
750,1.4923326,0
755,1.49223886,0
760,1.49214705,0
765,1.49205711,0
770,1.49196898,0
775,1.49188262,0
780,1.49179798,0
785,1.49171502,0
790,1.49163369,0
795,1.49155395,0
800,1.49147575,0
805,1.49139906,0
810,1.49132384,0
815,1.49125004,0
820,1.49117764,0
825,1.4911066,0
830,1.49103689,0
835,1.49096846,0
840,1.4909013,0
845,1.49083536,0
850,1.49077062,0
855,1.49070705,0
860,1.49064463,0
865,1.49058331,0
870,1.49052309,0
875,1.49046392,0
880,1.49040579,0
885,1.49034868,0
890,1.49029255,0
895,1.49023739,0
900,1.49018317,0
905,1.49012988,0
910,1.49007748,0
915,1.49002597,0
920,1.48997532,0
925,1.48992551,0
930,1.48987652,0
935,1.48982834,0
940,1.48978094,0
945,1.48973432,0
950,1.48968845,0
955,1.48964331,0
960,1.4895989,0
965,1.48955519,0
970,1.48951218,0
975,1.48946984,0
980,1.48942816,0
985,1.48938713,0
990,1.48934674,0
995,1.48930697,0
1000,1.48926781,0
