nm,n,k
300,1.70810557,1.88184682
305,1.63436055,1.96076028
310,1.59365173,2.04E+00
315,1.57732106,2.12E+00
320,1.57759402,2.19280154
325,1.5887194,2.25518459
330,1.60681122,2.30998209
335,1.6293441,2.35821311
340,1.65468881,2.40087453
345,1.68177893,2.43882477
350,1.70989591,2.47276956
355,1.73853774,2.50328316
360,1.76734081,2.53083685
365,1.79603367,2.55582421
370,1.82440957,2.57858078
375,1.85230966,2.59939837
380,1.87961232,2.61853509
385,1.90622616,2.63622225
390,1.93208502,2.65266909
395,1.95714426,2.66806602
400,1.98137779,2.68258674
405,2.00477561,2.6963898
410,2.02734163,2.70961965
415,2.04909179,2.7224074
420,2.07005222,2.73487148
425,2.09025772,2.74711811
430,2.1097502,2.75924184
435,2.12857734,2.77132602
440,2.14679133,2.78344326
445,2.16444771,2.79565595
450,2.18160434,2.80801682
455,2.19832049,2.82056944
460,2.21465594,2.8333488
465,2.23067036,2.84638189
470,2.24642257,2.85968828
475,2.26197005,2.8732807
480,2.27736847,2.88716557
485,2.29267128,2.90134364
490,2.30792941,2.91581045
495,2.323191,2.93055689
500,2.33850119,2.94556971
505,2.353902,2.960832
510,2.36943219,2.9763236
515,2.38512718,2.99202159
520,2.40101904,3.00790064
525,2.41713649,3.02393342
530,2.43350486,3.04009091
535,2.45014617,3.05634278
540,2.46707918,3.07265764
545,2.48431941,3.08900335
550,2.50187928,3.10534729
555,2.51976817,3.12165656
560,2.53799249,3.13789826
565,2.55655582,3.15403963
570,2.57545901,3.17004832
575,2.59470026,3.18589247
580,2.61427529,3.20154099
585,2.63417742,3.21696359
590,2.6543977,3.23213103
595,2.67492507,3.24701517
600,2.69574642,3.26158912
605,2.7168468,3.27582736
610,2.73820951,3.28970583
615,2.75981624,3.30320199
620,2.78164721,3.31629496
625,2.80368135,3.32896552
630,2.82589638,3.34119623
635,2.84826901,3.35297147
640,2.87077503,3.36427744
645,2.89338953,3.37510223
650,2.91608699,3.38543584
655,2.93884143,3.39527017
660,2.96162659,3.40459904
665,2.98441604,3.41341814
670,3.00718333,3.42172509
675,3.02990214,3.42951931
680,3.05254639,3.43680204
685,3.07509039,3.4435763
690,3.09750895,3.44984677
695,3.11977748,3.45561979
700,3.14187212,3.46090323
705,3.16376986,3.46570644
710,3.18544857,3.47004014
715,3.20688712,3.47391636
720,3.22806547,3.47734829
725,3.24896469,3.48035022
730,3.26956706,3.48293741
735,3.28985606,3.48512598
740,3.30981645,3.48693283
745,3.32943427,3.48837551
750,3.34869688,3.4894721
755,3.36759293,3.49024114
760,3.38611238,3.49070149
765,3.40424648,3.49087225
770,3.42198777,3.49077268
775,3.43933002,3.49042208
780,3.45626824,3.48983969
785,3.47279861,3.48904468
790,3.48891845,3.48805598
795,3.50462619,3.4868923
800,3.51992127,3.48557199
805,3.53480415,3.48411304
810,3.54927622,3.482533
815,3.56333975,3.48084893
820,3.5769978,3.47907739
825,3.59025423,3.47723436
830,3.60311359,3.47533526
835,3.61558107,3.4733949
840,3.62766245,3.47142747
845,3.63936404,3.46944652
850,3.65069261,3.46746495
855,3.66165538,3.46549501
860,3.67225992,3.46354832
865,3.68251413,3.46163583
870,3.69242618,3.45976785
875,3.70200446,3.45795405
880,3.71125757,3.45620349
885,3.72019424,3.45452462
890,3.72882331,3.45292526
895,3.7371537,3.45141269
900,3.74519439,3.44999359
905,3.75295434,3.44867413
910,3.76044252,3.44745992
915,3.76766786,3.44635608
920,3.77463923,3.44536725
925,3.78136541,3.44449761
930,3.78785508,3.44375086
935,3.79411683,3.44313033
940,3.80015909,3.4426389
945,3.80599015,3.44227911
950,3.81161816,3.44205311
955,3.8170511,3.44196272
960,3.82229677,3.44200945
965,3.8273628,3.44219449
970,3.83225665,3.44251875
975,3.83698555,3.4429829
980,3.84155658,3.44358733
985,3.8459766,3.44433221
990,3.85025229,3.44521751
995,3.85439011,3.44624298
1000,3.85839635,3.44740819
